sep=,
Date,Category,Device,Clicks,Cost,Sales,"Order value","Tracked leads","Cost of tracked leads"
15/08/21,"Sportschuhe Herren",Computer,1,0.25,0,0.0,0,0.0
19/08/21,Sonnenbrillen,Mobile,2,0.375,0,0.0,0,0.0
19/08/21,"Sportbekleidung Damen",Computer,1,0.27,0,0.0,0,0.0
19/08/21,"Sportbekleidung Herren",Computer,10,2.7,0,0.0,0,0.0
19/08/21,"Sportbekleidung Herren",Mobile,6,1.2150000000000003,0,0.0,0,0.0
19/08/21,Taschen,Computer,1,0.25,0,0.0,0,0.0
19/08/21,Taschen,Mobile,1,0.1875,0,0.0,0,0.0
19/08/21,"Fahrradteile & Fahrradzubehör",Computer,100,50.0,0,0.0,0,0.0
19/08/21,"Fahrradteile & Fahrradzubehör",Mobile,16,6.0,0,0.0,0,0.0
20/08/21,Herrenmode,Computer,1,0.25,0,0.0,0,0.0
20/08/21,"Sportbekleidung Damen",Computer,1,0.27,0,0.0,0,0.0
20/08/21,"Sportbekleidung Damen",Mobile,1,0.2025,0,0.0,0,0.0
20/08/21,"Sportbekleidung Herren",Computer,13,3.5100000000000002,0,0.0,0,0.0
20/08/21,"Sportbekleidung Herren",Mobile,16,3.240000000000001,0,0.0,0,0.0
20/08/21,Taschen,Computer,2,0.5,0,0.0,0,0.0
20/08/21,Taschen,Mobile,1,0.1875,0,0.0,0,0.0
20/08/21,"Fahrradteile & Fahrradzubehör",Computer,93,46.5,0,0.0,0,0.0
20/08/21,"Fahrradteile & Fahrradzubehör",Mobile,32,12.0,0,0.0,0,0.0
20/08/21,"Sportschuhe Herren",Computer,1,0.25,0,0.0,0,0.0
21/08/21,Damenmode,Computer,1,0.25,0,0.0,0,0.0
21/08/21,"Sportbekleidung Herren",Computer,8,2.16,0,0.0,0,0.0
21/08/21,"Sportbekleidung Herren",Mobile,3,0.6075,0,0.0,0,0.0
21/08/21,Taschen,Computer,1,0.25,0,0.0,0,0.0
21/08/21,"Fahrradteile & Fahrradzubehör",Computer,69,34.5,0,0.0,0,0.0
21/08/21,"Fahrradteile & Fahrradzubehör",Mobile,23,8.625,0,0.0,0,0.0
04/08/21,Damenmode,Mobile,1,0.1875,0,0.0,0,0.0
04/08/21,Sonnenbrillen,Computer,1,0.25,0,0.0,0,0.0
04/08/21,"Sportbekleidung Damen",Computer,2,0.54,0,0.0,0,0.0
04/08/21,"Sportbekleidung Damen",Mobile,3,0.6075,0,0.0,0,0.0
04/08/21,"Sportbekleidung Herren",Computer,13,3.5100000000000002,0,0.0,0,0.0
04/08/21,"Sportbekleidung Herren",Mobile,11,2.2275000000000005,0,0.0,0,0.0
04/08/21,Taschen,Computer,1,0.25,0,0.0,0,0.0
04/08/21,Taschen,Mobile,3,0.5625,0,0.0,0,0.0
04/08/21,"Fahrradteile & Fahrradzubehör",Computer,70,35.0,0,0.0,0,0.0
04/08/21,"Fahrradteile & Fahrradzubehör",Mobile,103,38.625,0,0.0,0,0.0
04/08/21,Rucksäcke,Computer,13,6.5,0,0.0,0,0.0
04/08/21,Rucksäcke,Mobile,2,0.75,0,0.0,0,0.0
06/08/21,"Sportbekleidung Damen",Computer,5,1.35,0,0.0,0,0.0
