Product Category (Enhanced E-commerce),Transaction ID,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Basket-to-Detail Rate,Buy-to-Detail Rate
Herren/Schuhe/Schnürer,DE01363409,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367376,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367889,749.85,3,3,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341906,749.8,3,3,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01345134,749.8,3,3,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347547,749.8,3,3,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360898,749.8,3,3,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01339989,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340758,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340766,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341074,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01343538,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346796,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349737,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350609,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350714,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01353109,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01353914,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01353966,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01359131,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360620,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01362249,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01365121,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01365179,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01365295,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367195,739.85,3,3,246.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342061,739.8,3,3,246.6,1,0,0.00%,0.00%
